isSoundTrack,rank,album,artist,year,url,comment
FALSE,N,Hollywood Town Hall,The Jayhawks,1992,,
FALSE,N,Street Gamins,Jaz B. Lat'n,1994,,
FALSE,N,Blackburst,Jazzhole,2000,,
FALSE,N,Off Yonder Wall,Jelly Roll Kings,1997,,
FALSE,N,Show,The Jesus Lizzard,1994,,
FALSE,N,Diary of a Mad Band,Jodeci,1993,,
FALSE,N,Tremble Under Boom Lights,Jonathan Fire*Eater,1996,,
FALSE,N,Live With the Possum,George Jones,1999,,
FALSE,N,This Is How We Do It,Montell Jordan,1995,,
FALSE,N,Raw Deluxe,Jungle Brothers,1997,,
FALSE,N,Quality Control,Jurassic 5,2000,,
FALSE,N,"A World out of Time, Vol. 3",Henry Kaiser,1996,,
FALSE,N,Larger Than Life,Pï¿½ï¿½pï¿½ï¿,1992,,
FALSE,N,Daddy's Home,Big Daddy Kane,1994,,
FALSE,N,Touma,Mory Kante,1990,,
FALSE,N,Lokua Kanza,Lokua Kanza,1993,,
FALSE,N,Exsina,Alione Kassï¿,1998,,
FALSE,N,It's Real,K-Ci & Jo-Jo,1999,,
FALSE,N,Amen,Salif Keita,1991,,
FALSE,N,At the Club,Kenickie,1997,,
FALSE,N,Life Is Large,The Kennedys,1996,,
FALSE,N,Devotional and Love Songs,Nusrat Fateh Ali Khan & Party,1993,,
FALSE,N,Pandemonium,Killing Joke,1994,,
FALSE,N,"Me, My Guitar and the Blues",Chris Thomas King,1999,,
FALSE,N,The Well,The Klezmatics/Chava Alberstein,1998,,
FALSE,N,One Foot in the Groove,"Koerner, Ray & Glover",1996,,
FALSE,N,Songs of Praise,Ami Koita,1993,,
FALSE,N,Ma Ya,Habib Koitï¿½ï¿½ & Ba,1999,,
FALSE,N,Bobby Konders & Massive Sounds,Bobby Konders & Massive Sounds,1992,,
FALSE,N,The Super Sowalï¿½ï¿½ Collec,Kotoja,1994,,
FALSE,N,Pieces of Africa,Kronos Quartet,1992,,
FALSE,N,Five Points Crawl,The Kropotkins,2000,,
FALSE,N,Times Up,K-Solo,1992,,
FALSE,N,Yellow Fever/Na Poi,Fela Anikulapo Kuti,2000,,
FALSE,N,Coffin for the Head of State/Unknown Soldier,Fela Anikulapo Kuti,2000,,
FALSE,N,V.I.P./Authority Stealing,Fela Anikulapo Kuti,2000,,
FALSE,N,Ingï¿½ï¿,K.D. Lang,1992,,
FALSE,N,Even Cowgirls Get the Blues,K.D. Lang,1993,,
FALSE,N,Lifted by Love,K.D. Lang,1994,,
FALSE,N,All You Can Eat,K.D. Lang,1995,,
FALSE,N,Invincible Summer,K.D. Lang,2000,,
FALSE,N,Notes of a Native Son,Laquan,1990,,
FALSE,N,Hat Full of Stars,Cyndi Lauper,1993,,
FALSE,N,Mush,Leatherface,1992,,
FALSE,N,Lump in My Forehead,The Leaving Trains,1992,,
FALSE,N,BBC Sessions,Led Zeppelin,1997,,
FALSE,N,Leftism,Leftfield,1995,,
FALSE,N,Marimbalax,Lemzo Diamano,1997,,
FALSE,N,Into the Sun,Sean Lennon,1998,,
FALSE,N,Medusa,Annie Lennox,1995,,
FALSE,N,Broader Than Broadway: The Best of Barrington Levy,Barrington Levy,1990,,
FALSE,N,The 3 Way,Lilys,1999,,
FALSE,N,A Turtle's Dream,Abbey Lincoln,1995,,
FALSE,N,Aggregates 1-26,Arto Lindsay Trio,1995,,
FALSE,N,Dissent,Linoleum,1997,,
FALSE,N,LL 77,Lisa Lisa,1994,,
FALSE,N,Captured Live,Little Charlie and the Night Cats,1991,,
FALSE,N,G.O.A.T. Featuring James T. Smith--The Greatest of All Time,L.L. Cool J,2000,,
FALSE,N,Iso,Ismaï¿½ï¿½,1994,,
FALSE,N,Tails,Lisa Loeb & Nine Stories,1995,,
FALSE,N,How to Operate With a Blown Mind,Lo-Fidelity Allstars,1999,,
FALSE,N,Expand Your Head,Lords of Acid,1999,,
FALSE,N,The Muse,Los Camperos de Valles,1995,,
FALSE,N,Los Dudes,Los Dudes,1996,,
FALSE,N,The Neighborhood,Los Lobos,1990,,
FALSE,N,Plants and Birds and Rocks and Things,The Loud Family,1993,,
FALSE,N,Coast to Coast Motel,G. Love & Special Sauce,1995,,
FALSE,N,Dayglo,Love Battery,1992,,
FALSE,N,Classics,Patty Loveless,1999,,
FALSE,N,Step Inside This House,Lyle Lovett,1998,,
FALSE,N,Goodbye to All That,The Low & Sweet Orchestra,1996,,
FALSE,N,The Impossible Bird,Nick Lowe,1994,,
FALSE,N,Staja 98 L.E.S.,Lower East Side Stitches,1998,,
FALSE,N,Back for the First Time,Ludacris,2000,,
FALSE,N,Luna EP,Luna,1996,,
FALSE,N,In Search of Manny,Luscious Jackson,1993,,
FALSE,N,Honky Tonk Angels,Loretta/Dolly/Tammy,1993,,
FALSE,N,Lam Toro,Baaba Maal,1993,,
FALSE,N,Nomad Soul,Baaba Maal,1998,,
FALSE,N,Electric Landlady,Kirsty MacColl,1991,,
FALSE,N,Get Down,Craig Mack Operation,1997,,
FALSE,N,Jamaica. No Problem?,Macka-B,1992,,
FALSE,N,Roots Ragga,Macka-B,1993,,
FALSE,N,Panic On,Madder Rose,1994,,
FALSE,N,Sans Commentaire,Madilu System,1994,,
FALSE,N,Hot Boxing,Magnapop,1994,,
FALSE,N,Rubbing Doesn't Help,Magnapop,1996,,
FALSE,N,Distant Plastic Trees,Magnetic Fields,1991,,
FALSE,N,Breaking Atoms,Main Source,1991,,
FALSE,N,Desert of Eden,Malouma,1998,,
FALSE,N,Music from Madagascar,Mama Sana,1992,,
FALSE,N,Ni Kanu,Kante Manfila,1995,,
FALSE,N,Megamix,Sam Mangwana,1990,,
FALSE,N,I'm With Stupid,Aimee Mann,1996,,
FALSE,N,Chamunorwa,Thomas Mapfumo & the Blacks Unlimited,1991,,
FALSE,N,Vanhu Vatema,Thomas Mapfumo & the Blacks Unlimited,1994,,
FALSE,N,Hondo,Thomas Mapfumo & the Blacks Unlimited,1994,,
FALSE,N,Mazuva Ano,Marimba Ava Murewa,1997,,
FALSE,N,Chant Down Babylon,Bob Marley,1999,,
FALSE,N,Dakar Heart,Jimmy Mbaye,1997,,
FALSE,N,Dead Dog's Eyeball,K. McCarty,1994,,
FALSE,N,In Your Bright Ray,Grant McLennan,1997,,
FALSE,N,No Joke!,Meat Puppets,1995,,
FALSE,N,Live in Montana,Meat Puppets,1999,,
FALSE,N,Deeper Roots: The Best of the Meditations,The Meditations,1994,,
FALSE,N,Retreat from Memphis,The Mekons,1994,,
FALSE,N,On the Blank Generation,Little Jack Melody with His Young Turks,1992,,
FALSE,N,Tigerlily,Natalie Merchant,1995,,
FALSE,N,We Could Make It Easy If We Try,Mighty Sparrow,1992,,
FALSE,N,Unspoilt,Mighty Spoiler,1995,,
FALSE,N,Cruel Moon,Buddy Miller,1999,,
FALSE,N,Dean Miller,Dean Miller,1997,,
FALSE,N,Fanatiques Compas,Mini All Stars,1997,,
FALSE,N,Home,Monifah,2000,,
FALSE,N,Big Calm,Morcheeba,1998,,
FALSE,N,To Get to You: Greatest Hits Collection,Lorrie Morgan,2000,,
FALSE,N,The Healing Game,Van Morrison,1997,,
FALSE,N,Back on Top,Van Morrison,1999,,
FALSE,N,How Long Has This Been Going On,Van Morrison with Georgie Fame & Friends,1996,,
FALSE,N,Decade of Decadence '81-'82,Motley Crue,1991,,
FALSE,N,Bob Mould,Bob Mould,1996,,
FALSE,N,Shoko,Oliver Mtukudzi,1992,,
FALSE,N,Tuku Music,Oliver Mtukudzi,1999,,
FALSE,N,Five Dollar Bob's Mock Cooter Stew,Mudhoney,1993,,
FALSE,N,Dark Star (The Music of the Grateful Dead),David Murray,1996,,
FALSE,N,Continental Drifter,Charlie Musselwhite,1999,,
FALSE,N,Lunatic Harness,mu-Ziq,1997,,
FALSE,N,Untamed,Heather Myles,1995,,
FALSE,N,Salvador,Naka,1992,,
FALSE,N,It Was Written,Nas,1996,,
FALSE,N,Nastrademus,Nas,1999,,
FALSE,N,Nineteen Naughty Nine,Naughty by Nature,1999,,
FALSE,N,Xel,El Hadj N'Diaye,2001,,
FALSE,N,The Guide (Wommat),Youssou N'Dour,1994,,
FALSE,N,Post Minstrel Syndrome,Negro Problem,1997,,
FALSE,N,What Silence Knows,Shara Nelson,1994,,
FALSE,N,Cheating at Solitaire,Mike Ness,1999,,
FALSE,N,On Avery Island,Neutral Milk Hotel,1996,,
FALSE,N,In the Aeroplane over the Sea,Neutral Milk Hotel,1998,,
FALSE,N,Havana Midnight,Bob Neuwirth,1999,,
FALSE,N,Dust to Dust,Prime Minister Pete Nice & Daddy Rich,1993,,
FALSE,N,Make It Hot,Nicole,1998,,
FALSE,N,Broken,Nine Inch Nails,1992,,
FALSE,N,Horny Holidays,Mojo Nixon & the Toadliquors,1992,,
FALSE,N,Heavy Petting Zoo,NOFX,1996,,
FALSE,N,Peek-a-Boo: The Best of NRBQ 1969-1989 Disc One,NRBQ,1990,,
FALSE,N,Peek-a-Boo: The Best of NRBQ 1969-1989 Disc Two,NRBQ,1990,,
FALSE,N,'N Sync,'N Sync,1998,,
FALSE,N,Multiculti,Sally Nyolo,1998,,
FALSE,N,Standing on the Shoulder of Giants,Oasis,2000,,
FALSE,N,Word . . . Life,O.C.,1994,,
FALSE,N,See the Ocean Blue,The Ocean Blue,1996,,
FALSE,N,Sublime Illusion,Eliades Ochoa,1999,,
FALSE,N,Tribute to the Cuarteto Patria,Eliades Ochoa,2000,,
FALSE,N,Gospel Oak EP,Sinï¿½ï¿½ad O'Co,1997,,
FALSE,N,Ignition,The Offspring,1992,,
FALSE,N,Smash,The Offspring,1994,,
FALSE,N,Conspiracy of One,The Offspring,2000,,
FALSE,N,Out of the Dark,O.G. Funk,1994,,
FALSE,N,Dusk at Cubist Castle,The Olivia Tremor Control,1996,,
FALSE,N,All True Man,Alexander O'Neal,1991,,
FALSE,N,New Diseases,"1,000 Mona Lisas",1996,,
FALSE,N,Mambo,Remmy Ongala and Orchestre Super Matimila,1992,,
FALSE,N,The Oranj Album,Oranj Symphonette,1998,,
FALSE,N,Stress (The Extinction Agenda),Organized Konfusion,1994,,
FALSE,N,La Charanga Eterna,Orquesta Aragon,1999,,
FALSE,N,"""My Roots Are Showing . . .""",K.T. Oslin,1996,,
FALSE,N,Everything Is Possible,Os Mutantes,1999,,
FALSE,N,Routes of Rhythm Vol. 3,Isaac Oviedo,1992,,
FALSE,N,Ozomatli,Ozomatli,1998,,
